template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc,concentration_i,concentration_cal_i,asymmetry_i,clumpiness_i,gini_i,m20_i,mag_sersic_i,mag_cal_i,re_sersic_i,re_cal_i,n_sersic_i,n_sersic_cal_i,ellipticity_sersic_i,ellipticity_sersic_cal_i
22,0.29958902379616614,0.3650087792132423,0.32090782795694395,0.5800000000000001,0.20266711438580823,0.1793226718781679,0.24911632230887382,2.20068,-0.015680075,0.0219328,0.0,0.462931,-1.59679,19.592592,-0.021507263,3.1581657,-0.8302343,0.91612625,0.08062625,0.6680819,-0.03181815
22,0.3010306613753411,0.36544422611173044,0.2880174355368581,0.5700000000000001,0.20088595897263942,0.17789197094873266,0.5645269721430677,2.20068,-0.015680075,0.0219328,0.0,0.462931,-1.59679,19.592592,-0.021507263,3.1581657,-0.8302343,0.91612625,0.08062625,0.6680819,-0.03181815
22,0.3007589619854934,0.3656635307054505,0.3099673100787186,0.5800000000000001,0.20180376845324016,0.1787437580123232,0.48780990237597127,2.20068,-0.015680075,0.0219328,0.0,0.462931,-1.59679,19.592592,-0.021507263,3.1581657,-0.8302343,0.91612625,0.08062625,0.6680819,-0.03181815
22,0.2999372643238639,0.3649028338342394,0.29785746658944845,0.5700000000000001,0.20191508551383508,0.1786569986434435,0.6070751650318472,2.20068,-0.015680075,0.0219328,0.0,0.462931,-1.59679,19.592592,-0.021507263,3.1581657,-0.8302343,0.91612625,0.08062625,0.6680819,-0.03181815
22,0.30083484187965237,0.365713755753722,0.3043544066595132,0.5800000000000001,0.2020160784055759,0.17891805379684217,0.566582258503995,2.20068,-0.015680075,0.0219328,0.0,0.462931,-1.59679,19.592592,-0.021507263,3.1581657,-0.8302343,0.91612625,0.08062625,0.6680819,-0.03181815
26,1.4949590335583263,1.101900648693519,0.04576835554325953,1.11,0.6258121645975082,0.01455782415192647,1.108619695561397,2.66703,0.17857003,0.149474,0.0613843,0.610466,-1.92163,19.240696,-0.12610435,1.5036488,0.13854873,4.4057064,0.44270658,0.21758854,-0.016411483
26,1.479403254703088,1.101578852373867,0.050247050498001045,1.11,0.6241106704335847,0.014857853163981334,1.1043816579297756,2.66703,0.17857003,0.149474,0.0613843,0.610466,-1.92163,19.240696,-0.12610435,1.5036488,0.13854873,4.4057064,0.44270658,0.21758854,-0.016411483
26,1.4783816431366805,1.1015779642725188,0.05145588729465089,1.11,0.6239418729651446,0.014847027558105304,1.1057772476790282,2.66703,0.17857003,0.149474,0.0613843,0.610466,-1.92163,19.240696,-0.12610435,1.5036488,0.13854873,4.4057064,0.44270658,0.21758854,-0.016411483
26,1.4888198593270054,1.1017416806926432,0.04314933677414956,1.11,0.6252284931218898,0.014727278040360123,1.1053713270100292,2.66703,0.17857003,0.149474,0.0613843,0.610466,-1.92163,19.240696,-0.12610435,1.5036488,0.13854873,4.4057064,0.44270658,0.21758854,-0.016411483
26,1.4879436799033359,1.101745962798255,0.04324624168111768,1.11,0.6250698648142845,0.014710669468340388,1.1134831525722741,2.66703,0.17857003,0.149474,0.0613843,0.610466,-1.92163,19.240696,-0.12610435,1.5036488,0.13854873,4.4057064,0.44270658,0.21758854,-0.016411483
6,0.5564686877658457,0.5603945552434555,1.1207768690792363,0.5700000000000001,0.046870633195745304,0.04541534888953698,0.5141107580963845,2.17653,-0.015680075,0.0882514,0.0,0.447148,-1.65965,20.183268,-0.020933151,2.995574,-0.55882597,0.8648434,0.056143403,0.42009223,-0.030407786
6,0.5549559598754454,0.5590415585451205,1.066287690556237,0.5700000000000001,0.046926936843748324,0.045530506864781106,0.6460734783574462,2.17653,-0.015680075,0.0882514,0.0,0.447148,-1.65965,20.183268,-0.020933151,2.995574,-0.55882597,0.8648434,0.056143403,0.42009223,-0.030407786
6,0.555895134015804,0.5599274946437749,1.0658715750560077,0.5700000000000001,0.04696233982676706,0.04551078457984464,0.6123918541324151,2.17653,-0.015680075,0.0882514,0.0,0.447148,-1.65965,20.183268,-0.020933151,2.995574,-0.55882597,0.8648434,0.056143403,0.42009223,-0.030407786
6,0.5557504021021685,0.5597352669008057,1.1210179654417516,0.5700000000000001,0.04686777203524367,0.045442223221086375,0.5771347239822188,2.17653,-0.015680075,0.0882514,0.0,0.447148,-1.65965,20.183268,-0.020933151,2.995574,-0.55882597,0.8648434,0.056143403,0.42009223,-0.030407786
6,0.5559981442973304,0.5599549154861303,1.1090058716636122,0.5700000000000001,0.046883346139108384,0.04544318769144946,0.6141825894114825,2.17653,-0.015680075,0.0882514,0.0,0.447148,-1.65965,20.183268,-0.020933151,2.995574,-0.55882597,0.8648434,0.056143403,0.42009223,-0.030407786
0,0.7092101659467487,0.715154085927586,0.2801982858518386,0.7100000000000001,0.015156762050778982,0.015594390587630822,0.7224101083866961,2.0473049,-0.5100651,0.19014,0.0369228,0.529199,-1.64274,20.139374,-0.101026535,2.5753856,-0.19221449,4.138404,0.2930038,0.34079504,-0.029304981
0,0.7097208048622528,0.7155869880537328,0.37213117037299526,0.7100000000000001,0.01499726748999014,0.015388686207042179,0.6983712245347413,2.0473049,-0.5100651,0.19014,0.0369228,0.529199,-1.64274,20.139374,-0.101026535,2.5753856,-0.19221449,4.138404,0.2930038,0.34079504,-0.029304981
0,0.7093472811037436,0.7152311687816656,0.3434606516339045,0.7100000000000001,0.015008550144107236,0.01539871556944907,0.720446655594367,2.0473049,-0.5100651,0.19014,0.0369228,0.529199,-1.64274,20.139374,-0.101026535,2.5753856,-0.19221449,4.138404,0.2930038,0.34079504,-0.029304981
0,0.7095948320800812,0.7155120275592675,0.3131181652252053,0.7100000000000001,0.015115938913561888,0.015544172001632878,0.7287115042948205,2.0473049,-0.5100651,0.19014,0.0369228,0.529199,-1.64274,20.139374,-0.101026535,2.5753856,-0.19221449,4.138404,0.2930038,0.34079504,-0.029304981
0,0.7094946829032532,0.7154130972196739,0.3170823287391613,0.7100000000000001,0.015113638902413018,0.015537336976209718,0.7432096165764229,2.0473049,-0.5100651,0.19014,0.0369228,0.529199,-1.64274,20.139374,-0.101026535,2.5753856,-0.19221449,4.138404,0.2930038,0.34079504,-0.029304981
14,0.09117132019495176,0.11222420048509399,1.469766182526655,0.09,0.05334897698948744,0.05159045994814296,0.2052147518680262,3.037245,0.53241515,0.118306,0.0387988,0.526983,-1.66632,18.542,0.0,10.1043,0.0,1.5359,0.0,0.7487,0.0
14,0.0908458998469726,0.11177826225219184,1.5147401448139135,0.09,0.0530697359291917,0.05145084047406771,0.06751487978035474,3.037245,0.53241515,0.118306,0.0387988,0.526983,-1.66632,18.542,0.0,10.1043,0.0,1.5359,0.0,0.7487,0.0
14,0.091166084408383,0.11217575001795908,1.4545585073974507,0.09,0.053293522784807,0.051550744946406296,0.17800013287097582,3.037245,0.53241515,0.118306,0.0387988,0.526983,-1.66632,18.542,0.0,10.1043,0.0,1.5359,0.0,0.7487,0.0
14,0.09084454826626473,0.11180861183237782,1.5293978941899695,0.09,0.053109374086366824,0.051480277065379866,0.10110426553841766,3.037245,0.53241515,0.118306,0.0387988,0.526983,-1.66632,18.542,0.0,10.1043,0.0,1.5359,0.0,0.7487,0.0
14,0.09100467119084764,0.1119865044370444,1.4931489645005058,0.09,0.05319580124755452,0.05151196033034706,0.24726479776394317,3.037245,0.53241515,0.118306,0.0387988,0.526983,-1.66632,18.542,0.0,10.1043,0.0,1.5359,0.0,0.7487,0.0
0,0.5665957742728402,0.57405727668575,6.805335134979941,0.5700000000000001,0.013455626009529487,0.017527607162464976,0.5643862317917493,2.353455,-0.511485,0.109225,0.0121706,0.519209,-1.67382,20.064306,0.03230667,4.865031,-2.0976691,6.9472094,-1.3025904,0.64867866,-0.045921326
0,0.5659822602700745,0.5732326828240842,6.986989484699734,0.5700000000000001,0.013115986513848987,0.017188377502270383,0.5568937922053925,2.353455,-0.511485,0.109225,0.0121706,0.519209,-1.67382,20.064306,0.03230667,4.865031,-2.0976691,6.9472094,-1.3025904,0.64867866,-0.045921326
0,0.5666318288150713,0.5741028369747714,6.781378101187329,0.5700000000000001,0.013413677982313188,0.017521232581241827,0.5777253454357567,2.353455,-0.511485,0.109225,0.0121706,0.519209,-1.67382,20.064306,0.03230667,4.865031,-2.0976691,6.9472094,-1.3025904,0.64867866,-0.045921326
0,0.5659902635890879,0.5732044787133707,7.107277279426853,0.5700000000000001,0.013099484460142474,0.0170933454813798,0.5753048376857929,2.353455,-0.511485,0.109225,0.0121706,0.519209,-1.67382,20.064306,0.03230667,4.865031,-2.0976691,6.9472094,-1.3025904,0.64867866,-0.045921326
0,0.5662695061628162,0.5736566165967216,6.805128111352133,0.5700000000000001,0.013319686000258624,0.0174572382266361,0.5568798587823044,2.353455,-0.511485,0.109225,0.0121706,0.519209,-1.67382,20.064306,0.03230667,4.865031,-2.0976691,6.9472094,-1.3025904,0.64867866,-0.045921326
36,0.2903241890871127,0.37557086395668615,0.33922815125424677,0.29000000000000004,0.20840367581544655,0.18635799222922053,0.5708209159371869,2.1296,0.12083006,0.120166,0.0424289,0.482612,-1.50225,19.862574,-0.04002571,3.0106065,-0.14529347,0.89888,0.020879984,0.12563753,-0.024462461
